id,agency,updated,accessed,url,hash,whats_detected,whats_not_detected,acceptable_use_policy,prohibited_uses,access_policy,hotlist_policy
96,Atherton CA PD,2023-07-27T12:04:07Z,2023-07-28T00:56:00Z,https://transparency.flocksafety.com/atherton-ca-pd,a2a2af5c1f457501c8ae1887be4d23fe,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Atherton Police Department and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
151,Barstow CA PD,2023-07-27T12:01:41Z,2023-07-28T00:56:02Z,https://transparency.flocksafety.com/barstow-ca-pd,2e6189f81fa5515372afa405f77c9823,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Barstow CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
269,Brawley CA PD,2023-07-27T12:01:42Z,2023-07-28T00:56:04Z,https://transparency.flocksafety.com/brawley-ca-pd,3066f9d1d10eb5408b6c2f7cc4e62a01,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Brawley CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
379,Calistoga CA PD,2023-07-27T12:03:41Z,2023-07-28T00:56:07Z,https://transparency.flocksafety.com/calistoga-ca-pd,da72aa50e20191d45b1a874f9cb742b4,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Calistoga Police Department and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
425,Cathedral City CA PD,2023-07-27T12:01:04Z,2023-07-28T00:56:09Z,https://transparency.flocksafety.com/cathedral-city-ca-pd,cb6550e2194a97a3fb37c2736418fe9c,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Cathedral City CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
502,City of Riverside CA PD,2023-07-27T12:03:02Z,2023-07-28T00:56:10Z,https://transparency.flocksafety.com/city-of-riverside-ca-pd-,0e8abfe101bf16d8a667b76cf1b40ef8,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by City of Riverside CA PD  and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
570,Colma CA PD,2023-07-27T12:00:42Z,2023-07-28T00:56:12Z,https://transparency.flocksafety.com/colma-ca-pd,fbab7bdeba1094e29918a6408a5f6880,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Colma CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
593,Contra Costa County CA SO,2023-07-27T12:05:02Z,2023-07-28T00:56:14Z,https://transparency.flocksafety.com/contra-costa-county-ca-so,168f17f3240bcf463a4a2287aa9622d5,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Contra Costa County CA SO and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
667,Danville CA PD,2023-07-27T12:04:28Z,2023-07-28T00:56:16Z,https://transparency.flocksafety.com/danville-ca-pd,5915569305e81629dc96723ab9eb78ac,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Danville CA PD and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
974,Galt CA PD,2023-07-27T12:04:02Z,2023-07-28T00:56:18Z,https://transparency.flocksafety.com/galt-ca-pd,17473e4042771f7ac3c7fb890b300e6a,"License Plates, Vehicles","Facial recognition, People, Gender, Race",Data is used for law enforcement purposes only. Data is owned by Galt Police Department and is never sold to 3rd parties.,"Immigration enforcement, traffic enforcement, harrassment or intimidation, usage based solely on a protected class (i.e. race, sex, religion), Personal use.",All system access requires a valid reason and is stored indefinitely.,Hotlist hits are required to be human verified prior to action.
