id,agency,updated,accessed,url,data_retention_in_days,number_of_owned_cameras,external_organizations_with_access,hotlists_alerted_on,vehicles_detected_in_the_last_30_days,hotlist_hits_in_the_last_30_days,searches_in_the_last_30_days,public_search_audit
119,Avon IN PD,2024-04-26T14:11:25Z,2024-04-26T17:25:31Z,https://transparency.flocksafety.com/avon-in-pd,30 days,6,NA,"NCIC, NCMEC Amber Alert, IDACS",269427,33267,332,0
2421,Sterling Heights MI PD,2024-04-26T14:09:18Z,2024-04-26T17:25:33Z,https://transparency.flocksafety.com/sterling-heights-mi-pd,30 days,20,988,"NCIC, NCMEC Amber Alert",870060,369,474,0
2459,Sylvania OH PD,2024-04-26T14:20:51Z,2024-04-26T17:25:34Z,https://transparency.flocksafety.com/sylvania-oh-pd,30 days,15,"Adrian MI PD, Altoona IA PD, Amberley Village OH PD, Ashland County OH SO, Aurora OH PD , Bath Township OH PD, Bay Village OH PD, Bayfield County WI SO, Bellbrook OH PD , Bellville OH PD, Birmingham MI PD, Blue Ash OH PD, Bratenahl OH PD, Broadview Heights OH PD, Brownstown Twp PD MI, Butler County OH SO, Butler Township OH PD, Chesapeake VA PD , Clinton Township NJ PD, Coffeyville KS PD, Cortland OH PD, Cuyahoga Falls OH PD, Davie County NC SO, Dearborn MI PD, Delaware County OH SO, Delhi Twp OH PD, Dublin OH PD, Eastlake OH PD, Eastpointe MI PD, Fairfield OH PD, Fairlawn OH PD, Farmington Hills MI PD, Fayette OH PD, Forest Park OH PD, Gallia County OH SO, Garden City MI PD, Geauga County OH SO , Genesee County MI SO, German Township OH PD, Goshen IN PD, Grosse Ile MI PD, Groveport OH PD, Hamilton County OH SO, Hamilton OH PD, Harrison OH PD, Hazel Park MI PD, Heath OH PD, Hebron OH PD, Highland Park MI PD, Hilliard OH PD, Holland OH PD, Houston TX PD, Hubbard OH PD, Huber Heights OH PD, Huron OH PD, Indian Hill OH PD, Jackson MI PD, Jefferson County MO SO, Kent OH PD, Knox County TN SO, Lasalle IL PD , Liberty Township OH PD, Licking County OH SO, Lorain OH PD, Louisville Metro KY PD, Louisville OH PD, Lucas County OH SO, Lyndhurst OH PD, Macedonia OH PD, Madeira OH PD, Mahoning County OH SO, Mahoning Valley Law Enforcement TF (OH), Marysville OH PD, Medina County OH SO, Medina Township OH PD, Mercer County OH SO, Metro Police Authority of Genesee County MI, Middleburg Heights OH PD, Monroe County MI SO , Montgomery County OH SO, Montville Township OH PD, Mount Holly NC PD, Mount Vernon OH PD, New Bremen OH PD, New York State Police NY, Newport TN PD, Noblesville IN PD, North Ridgeville OH PD, Norwood OH PD, Obetz OH PD, Ohio Bureau of Workers' Compensation (LE), Ohio State Highway Patrol, Perkins Township OH PD, Perry County MO SO, Perrysburg OH PD, Perrysburg Twp OH PD, Pittsboro IN PD, Plain City OH PD, Port Clinton OH PD, Powell OH PD, Preble County OH SO, Radcliff KY PD, Richland County OH SO, Richmond VA PD, Rossford OH PD, Sarasota FL PD, Sidney OH PD, South Bend IN PD, Springdale OH PD, Springfield MO PD, Springfield OH PD, Steger IL PD, Sterling Heights MI PD, Summit Metro Parks PD, Sylvania Township OH PD, Thornton CO PD, Three Rivers MI PD, Tipp City OH PD, Toledo OH PD, Tooele City PD UT, Troy MI PD , Tuscarawas County OH SO, Twinsburg OH PD, Union Township OH PD, University of Toledo OH PD, Upper Arlington OH PD, US Postal Inspection Service, Wadsworth OH PD, Warren County OH SO, Waterford Township PD- MI, West Bend WI PD, West Chester OH PD, Westlake OH PD, Whitehall OH PD, Windham OH PD, Wixom MI PD, Wyandot County OH SO, Wyandotte MI PD, Wyoming OH PD","NCIC, NCMEC Amber Alert",302558,366,78,0
1170,Hendricks County IN SO,2024-04-26T14:27:19Z,2024-04-26T17:25:36Z,https://transparency.flocksafety.com/hendricks-county-in-so,30 days,12,NA,"NCIC, NCMEC Amber Alert, IDACS",665721,54043,148,0
1182,Hesston KS PD,2024-04-26T14:14:44Z,2024-04-26T17:25:38Z,https://transparency.flocksafety.com/hesston-ks-pd,30 days,2,"Barton County KS SO, Bourbon County KS SO, Chanute KS PD, Cherryvale KS PD, Cloud County KS SO, Coffeyville KS PD, Crawford County KS SO, Ellinwood KS PD, Frontenac KS PD, Hoisington KS PD, Junction City KS PD, Kansas KBI, Medicine Lodge KS PD, Montgomery County KS SO, Neosho County KS SO, Pratt County KS SO, Salina KS PD, Saline County KS SO, Thomas County KS SO, Wamego KS PD, Wichita County KS SO","NCIC, NCMEC Amber Alert",20786,3,2,0
2008,Parsons KS PD,2024-04-26T14:23:45Z,2024-04-26T17:25:40Z,https://transparency.flocksafety.com/parsons-ks-pd,30 days,5,"Abilene KS PD, Allen County KS Communications Center, Allen County KS SO, Amarillo TX PD, Andover KS PD, Arkansas City KS PD, Augusta KS DPS, Barber County KS SO, Barton County KS SO, Baxter Springs PD KS, Bel Aire KS PD, Belle Plaine KS PD, Benton KS PD, Bourbon County KS SO, Burrton KS PD, Butler County KS SO, Caldwell KS PD, Caney KS PD, Chanute KS PD, Chase County KS SO, Chautauqua County KS SO, Cheney KS PD, Cherokee County KS SO, Cherryvale KS PD, Clearwater KS PD, Cloud County KS SO, Coffey County KS SO, Coffeyville KS PD, Colwich KS PD, Conway Springs KS PD, Cowley County KS SO, Crawford County KS SO, Derby KS PD, Eastborough KS PD, El Dorado KS PD, Elk County KS SO, Ellinwood KS PD, Emporia KS PD, Franklin County KS Communications Center, Frontenac KS PD, Garden Plain KS PD, Gardner KS PD, Goddard KS PD, Grant County KS SO, Gray County KS SO, Great Bend KS PD, Greeley County KS SO, Hamilton County KS SO, Harvey County KS SO, Haven KS PD, Haysville KS PD, Hesston KS PD, Hillsboro KS PD, Hoisington KS PD, Houston TX PD, Hutchinson KS PD, Johnson County KS SO, Junction City KS PD, Kansas City KS PD, Kansas Department of Labor KS, Kansas Highway Patrol, Kansas KBI, Kansas Wildlife and Parks, Kearny County KS SO, Kechi KS PD, Kingman County KS SO, Kingman KS PD, Leavenworth County KS SO, Leavenworth KS PD, Leawood KS PD, Lyon County KS SO , Maize KS PD, Marion County KS SO, Marysville KS PD, Medicine Lodge KS PD, Miami County KS SO, Minneapolis KS PD, MOCIC , Montgomery County KS SO, Mulvane KS PD, Muskogee OK PD, Neodesha KS PD, Neosho County KS SO, Ness County KS SO, Newton KS PD, North Newton KS PD, North Richland Hills TX PD, Olathe KS PD, Ottawa KS PD, Overland Park KS PD, Oxford KS PD, Park City KS PD, Pawnee County KS SO, Pittsburg KS PD, Pratt County KS SO, Reno County KS SO, Riley County KS PD, Rochester IL PD, Rose Hill KS PD, Salina KS PD, Saline County KS SO, Sauk Village IL PD, Sedgwick County KS SO, Sedgwick KS PD, Sheridan County KS SO, South Hutchinson KS PD, Sumner County KS SO, Texas Financial Crimes Intelligence Center, Thomas County KS SO, Topeka KS PD, Ulysses KS PD, Valley Center KS DPS, Wabaunsee County SO (KS), Wallace County KS SO, Waukee IA PD, Wellington KS PD, Wichita County KS SO, Wichita KS PD, Wichita State University KS PD, Winfield KS PD","NCIC, NCMEC Amber Alert",63648,98,13,0
2066,Pittsburg KS PD,2024-04-26T14:22:50Z,2024-04-26T17:25:41Z,https://transparency.flocksafety.com/pittsburg-ks-pd,30 days,14,NA,"NCIC, NCMEC Amber Alert",113269,979,NA,0
765,East Providence RI PD,2024-04-26T14:19:55Z,2024-04-26T17:25:43Z,https://transparency.flocksafety.com/east-providence-ri-pd,30 days,14,"Anderson PD IN, Bristol RI PD (Do Not Use), Butler County OH SO, Butler Township OH PD, Coffeyville KS PD, Cranston RI PD, El Cajon CA PD, Franklin MA PD, Franklin Township PA PD, Groton CT PD, Holyoke MA PD, Huntsville AL PD, Jefferson County MO SO, Louisville Metro KY PD, Mahoning Twp PA PD, Marlborough MA PD, Marysville OH PD, Metro Police Authority of Genesee County MI, Middletown RI PD, Pawtucket RI PD, Providence RI PD, Randolph MA PD , Rhode Island State Police, Richmond VA PD, Sarasota FL PD, Scarborough ME PD, Somerset MA PD, Springfield MO PD, Sterling Heights MI PD, Thornton CO PD, Tooele City PD UT, Town of Newburgh NY PD, Town of Poughkeepsie NY PD, US Postal Inspection Service, Warwick RI PD, West Terre Haute IN PD, Wichita Falls TX PD , Windsor Locks CT PD, Wyoming OH PD","NCIC, NCMEC Amber Alert",394109,670,137,0
921,Fort Smith AR PD,2024-04-26T14:28:01Z,2024-04-26T17:25:45Z,https://transparency.flocksafety.com/fort-smith-ar-pd,30 days,28,"Benton County AR SO, Boone County AR SO, Grant County AR SO , Hot Springs AR PD, Jonesboro AR PD, Little Rock AR PD, Muskogee OK PD, North Little Rock AR PD, Van Buren AR PD, West Memphis AR PD","NCIC, NCMEC Amber Alert",115187,265,234,1
778,Edmond OK PD,2024-04-26T14:21:55Z,2024-04-26T17:25:47Z,https://transparency.flocksafety.com/edmond-ok-pd,30 days,10,NA,"NCIC, NCMEC Amber Alert",323031,3,150,0
