id,name,type,city,county,notes,company,cams_confirmed,cams_portal,flock_portal_url,document_url
2837,Wilson NC PD,PD,Wilson,Wilson,ASLB confirmed use,Flock,Unknown,NA,NA,
2852,Gaston County NC PD,PD,Gastonia,Gaston,ASLB confirmed use; SBI letter notes demo use,Flock,Unknown,NA,NA,https://www.documentcloud.org/documents/24628050-ncic-gaston-county-pd-1122022
1006,Gibsonville NC PD,PD,Gibsonville,"Alamance, Guilford",Confirmed by dept.,Flock,2,NA,NA,
2466,Taylorsville NC PD,PD,Taylorsville,Alexander,Confirmed by dept.,Flock,2,NA,NA,
250,Boone NC PD,PD,Boone,Watauga,Confirmed by dept.,Flock,2,NA,NA,
2820,Zebulon NC PD,PD,Zebulon,Wake,Confirmed by dept.,Flock,2,NA,NA,https://www.documentcloud.org/documents/24628028-zebulon-contract-with-flock-safety-10122023
408,Carolina Beach NC PD,PD,Carolina Beach,New Hanover,Confirmed by dept.,Flock,2,NA,NA,
1234,Hudson NC PD,PD,Hudson,Caldwell,Confirmed by dept.,Flock,2,2,https://transparency.flocksafety.com/hudson-nc-pd,
2744,Whiteville NC PD,PD,Whiteville,Columbus,Confirmed by dept.,Flock,2,2,https://transparency.flocksafety.com/whiteville-nc-pd,
630,Creedmoor NC PD,PD,Creedmoor,Granville,Confirmed by dept.,Flock,2,NA,https://transparency.flocksafety.com/creedmoor-nc-pd,
72,Appalachian Regional Healthcare System NC PD,Private PD,Boone,Buncombe,Confirmed by dept.,Flock,2,NA,NA,
2453,Surf City NC PD,PD,Surf City,"Pender, Onslow",Confirmed by dept.,Flock,3,NA,NA,
2533,Tryon NC PD,PD,Tryon,Polk,Confirmed by dept.,Flock,3,NA,NA,
2831,Mars Hill NC PD,PD,Mars Hill,Madison,Confirmed by dept.,Rekor,2,NA,NA,
2826,Clayton NC PD,PD,Clayton,Johnston,Confirmed by dept.,Motorola,2,NA,NA,
742,Duck NC PD,PD,Duck,Dare,Confirmed by dept.,Motorola,2,NA,NA,
2664,Watauga County NC SO,SO,Boone,Watauga,Confirmed by dept.,Flock,3,NA,NA,
2325,Sharpsburg NC PD,PD,Sharpsburg,Nash,Confirmed by dept.,Flock,3,3,https://transparency.flocksafety.com/sharpsburg-nc-pd,
71,App State University NC PD,UNC PD,Boone,Watauga,Confirmed by dept.,Flock,3,3,https://transparency.flocksafety.com/app-state-university-nc-pd,
1358,Kernersville NC PD,PD,Kernersville,Forsyth,Confirmed by dept.,Flock,4,NA,NA,
1792,Nash County NC SO,SO,Nashville,Nash,Confirmed by dept.,Flock,4,NA,NA,
2166,Richmond County NC SO,SO,Rockingham,Richmond,Confirmed by dept.,Flock,4,NA,NA,
1761,Mount Holly NC PD,PD,Mount Holly,Gaston,Confirmed by dept.,Flock,4,4,https://transparency.flocksafety.com/mt-holly-nc-pd,
627,Craven County ABC Board (NC),ABC,New Bern,Craven,Confirmed by dept.,Flock,4,4,https://transparency.flocksafety.com/craven-county-abc-board-nc,
1368,Kings Mountain NC PD,PD,Kings Mountain,Cleveland,Confirmed by dept.,Flock,5,NA,NA,
226,Black Mountain NC PD,PD,Black Mountain,Buncombe,Confirmed by dept.,Flock,5,NA,NA,
34,Alexander County NC SO,SO,Taylorsville,Alexander,Confirmed by dept.,Flock,5,NA,NA,
937,Franklin County NC SO,SO,Louisburg,Franklin,Confirmed by dept.,Flock,5,NA,NA,
2086,Polk County NC SO,SO,Columbus,Polk,Confirmed by dept.,Flock,6,NA,NA,
987,Gastonia NC PD,PD,Gastonia,Gaston,Confirmed by dept.,Flock,6,NA,NA,
914,Forsyth County NC SO,SO,Winston-Salem,Forsyth,Confirmed by dept.,Flock,7,NA,NA,
1601,Matthews NC PD,PD,Matthews,Mecklenburg,Confirmed by dept.,Flock,8,NA,NA,
2853,Catawba County NC SO,SO,Newton,Catawba,Confirmed by dept.,Flock,8,NA,NA,
588,Concord NC PD,PD,Concord,Cabarrus,Confirmed by dept.,Flock,8,NA,NA,
775,Edgecombe County NC SO,SO,Tarboro,Edgecombe,Confirmed by dept.,Flock,8,NA,NA,
1376,Knightdale NC PD,PD,Knightdale,Wake,Confirmed by dept.,Flock,9,NA,NA,
1166,Henderson County NC SO,SO,Hendersonville,Henderson,Confirmed by dept.,Flock,10,10,https://transparency.flocksafety.com/henderson-county-nc-so-,
1240,Huntersville PD NC,PD,Huntersville,Mecklenburg,Confirmed by dept.,Flock,10,10,https://transparency.flocksafety.com/huntersville-pd-nc,
1695,Mint Hill NC PD,PD,Mint Hill,Mecklenburg,Confirmed by dept.,Flock,10,10,https://transparency.flocksafety.com/mint-hill-nc-pd,
1718,Monroe NC PD,PD,Monroe,Union,Confirmed by dept.,Flock,10,NA,NA,
673,Davie County NC SO,SO,Mocksville,Davie,Confirmed by dept.,Flock,10,10,https://transparency.flocksafety.com/davie-county-nc-so,
793,Elizabethtown NC PD,PD,Elizabethtown,Bladen,Confirmed by dept.,Flock,10,10,https://transparency.flocksafety.com/elizabethtown-nc-pd,
2577,University of North Carolina at Pembroke NC PD,UNC PD,Pembroke,Robeson,Confirmed by dept.,Flock,10,NA,NA,
332,Buncombe County NC SO,SO,Asheville,Buncombe,Confirmed by dept.,Flock,10,NA,NA,
591,Conover NC PD,PD,Conover,Catawba,Confirmed by dept.,Flock,10,NA,NA,
